Laptop Name,School Review,School Rating,Gaming Review,Gaming Rating,Multimedia Review,Multimedia Rating,Workstation Review,Workstation Rating,Business Review,Business Rating,Overall Review
Dell XPS 13 (2024),"The Dell XPS 13 (2024) is good for school use. It has an extremely compact design and light weight, so you can easily bring it to lectures in your backpack or tote bag. For light use, like taking notes or doing research, the battery can last the full school day on a single charge. While it provides a good user experience overall, its touch and keyboard layout definitely require an adjustment period. This laptop features a number of bright displays with a 16:10 aspect ratio, giving you more vertical space for reading articles. Finally, despite its higher-end hardware, this laptop is only suitable for general productivity tasks; its cooling really limits its performance, so people wanting a laptop for 3D modeling or video editing should look elsewhere.",8.0,"The Dell XPS 13 (2024) isn't designed for gaming. The only GPU option available is the integrated Intel Arc graphics on the Intel Meteor Lake CPUs. This means it can handle some puzzle games or turn-based strategy games at low settings at 1080p but lacks the graphical horsepower for anything more intensive. The IPS panel options have a slow response time; while most OLED panels have near instantaneous response times, this panel does not, as there's visible ghosting and poor motion clarity. None of the display options include variable refresh rate technologies, so screen tearing will be an issue. On a positive note, if you do use this laptop for gaming, it stays cool and quiet.",6.0,"The Dell XPS 13 (2024) is great for multimedia consumption. Its OLED panel is bright and vibrant and has a glossy anti-reflection coating that does a fantastic job handling reflections in indoor environments. It also gets very dim, so you can watch some late-night movies in a dark room without worrying about eye strain. Battery life is good, so you don't need to worry about keeping the laptop plugged in to enjoy your favorite shows, and the laptop is extremely portable, making it convenient to use for media playback on a bus or plane. The weak point is the laptop's speakers. Unlike the larger 14- or 16-inch models, which feature up-firing speakers, the 13-inch has down-firing speakers that rattle quite a bit as you increase the volume. They get loud, but the louder the volume, the more tinny and fatiguing they become.",8.4,"The Dell XPS 13 (2024) isn't designed as a workstation. While it features Intel's very capable Meteor Lake CPUs, the laptop's poor thermal solution limits performance for intensive workloads requiring sustained performance. The port selection is another place where the XPS 13 falls short for workstation needs. It only includes two USB-C/Thunderbolt 4 ports, so you will need an adapter for peripherals, Ethernet, etc. That being said, both its OLED and QHD+ IPS panel options offer complete coverage of the DCI-P3 color space, making them a great option for light color correction work. By contrast, the FHD+ panel only covers the sRGB color space.",7.4,"The Dell XPS 13 (2024) is a good business laptop. It offers exceptional build quality and is among the most portable 13-inch laptops on the market. Battery life is also great, as you can make it through a full workday on a single charge if you primarily do general productivity tasks. While the user experience is generally good, the keyboard layout and edge-to-edge keycaps require some adjustment, and the invisible touchpad can be a bit frustrating to use initially. Port selection is the real weak spot of this laptop, as it only includes two USB-C/Thunderbolt 4 ports, meaning you may need to carry an adapter with you depending on your peripherals.",7.6,"The Dell XPS 13 (2024) is a premium ultraportable laptop. This 9340 model replaces the Dell XPS 13 Plus 9320 model from 2023. It's available with Intel Core Ultra 5 or 7 CPUs and Intel Arc integrated graphics only. Display options include an FHD+ non-touch and QHD+ touchscreen IPS panel and a 2.8k OLED touchscreen panel; both IPS options are 120Hz screens with dynamic refresh rate support, while the OLED is a 60Hz panel. It also has a 1080p webcam, Wi-Fi 7 wireless connectivity, and a 55Wh battery. Its port selection comprises two USB-C/Thunderbolt 4s."
Acer Chromebook Plus Spin 714 (2024),"The Acer Chromebook Plus Spin 714 is good for school use. It's relatively compact and lightweight, so you can easily bring it to class in your backpack or tote bag. You can expect the battery to last all day on a single charge if you're using it for light tasks like taking notes or doing research. Overall, the user experience is great but not perfect. Its keyboard is spacious and easy to use, and the touchpad generally performs well, though it struggles when inputs start along the edges. The 16:10 aspect ratio of the display gives you more vertical space for reading articles; unfortunately, the display's reflection handling isn't great, so you'll notice reflections from sources like classroom fluorescent lights. While the Intel Meteor Lake CPUs offer good performance, these laptops are limited by ChromeOS' software compatibility; if you need any specialized software for your courses, make sure to check OS compatibility.",7.9,"The Acer Chromebook Plus Spin 714 is not a gaming laptop. In addition to many games not being compatible with ChromeOS, this laptop lacks several features you'd want in a gaming laptop. For example, it's only available with low-power CPUs and integrated graphics, which aren't powerful enough to handle demanding games. You can play some Android-based games (they may not all run properly as they're primarily designed for Android devices) or light puzzle games, but that's it. Also, its IPS panel has a slow response time, causing noticeable ghosting, and there is no VRR to reduce screen tearing. It doesn't get hot or loud under load, though, and it has a wide port selection for your peripherals and external display.",4.6,"The Acer Chromebook Plus Spin 714 is great for media consumption under the right circumstances. The screen gets bright and looks vibrant, and its speakers are quite loud. Its battery life is also good, so you don't need to worry about keeping the laptop plugged in to enjoy your favorite shows. The laptop is very portable, making it convenient to use for media playback on a bus or plane. However, the display's reflection handling isn't great. As a result, it's not suitable for use in bright environments, as any direct light sources like lamps or the sun will be visible even with the screen on maximum brightness. Similarly, while the up-firing speakers get loud and have almost no distortion at maximum volume, they lack almost all bass and sound unnatural, which can be fatiguing to listen to for long periods.",8.1,"The Acer Chromebook Plus Spin 714 isn't designed as a workstation. While the low-power Intel Meteor Lake processors offer good performance, they aren't ideal for handling demanding tasks. Additionally, there are only integrated GPU options. You can only get a maximum of 16GB of RAM, and the memory isn't user-replaceable, further limiting functionality. In addition, many workstation applications aren't compatible with ChromeOS. On the bright side, it has a decent port selection, including Thunderbolt 4 support on its two USB-C ports.",6.9,"The Acer Chromebook Plus Spin 714 is good for business use. Its 14-inch chassis makes it easy to carry around to meetings and while you travel. It offers great performance for general productivity tasks like spreadsheets and word processing, and some CPU options are powerful enough for intensive tasks and multitasking. Its keyboard and touchpad are also easy to adapt to and comfortable to use, though the touchpad isn't perfect, as the edges do a poor job registering inputs. Its battery life is great at over 10 hours of light use on a single charge. The webcam is also fantastic, offering a clear image. The microphone isn't great, though; it has a lot of static and is quiet. Additionally, the display's reflection handling isn't great, so you'll definitely notice direct light sources like lamps or fluorescent office lights.",7.8,"The Acer Chromebook Plus Spin 714 (2024) is a 2-in-1 convertible Chromebook. It replaces the Acer Chromebook Spin 714 (model CP714-1WN/2WN) from 2023. It's available with Intel's Core Ultra 5 and 7 U-series processors, integrated graphics, up to 16GB of RAM, and up to 512GB of storage. It has an FHD+ IPS display with full sRGB coverage and touch input support, a 1440p webcam, and Wi-Fi 6E wireless connectivity. Port selection includes two USB-C with Thunderbolt 4 support, one USB-A with USB 3.2 Gen 1 data transfer speed (up to 5 Gbps), an HDMI 2.0 port, and a 3.5 mm mic/headphone combo jack."
"Apple MacBook Pro 16 (M3, 2023)","The Apple MacBook Pro 16 2023 is excellent for school use. It feels exceptionally well-built thanks to its full-aluminum chassis, and its battery lasts easily through a typical school day with plenty of charge to spare. Its 16-inch display gives you plenty of room for multitasking and gets bright enough to combat glare, even in well-lit settings. The keyboard feels great to type on, and the touchpad is large and responsive. Its M3 Pro/Max SoCs can handle nearly any workload, making it suitable for students in fields like graphic design or 3D animation. It isn't overly bulky for a 16-inch laptop but is fairly heavy.",8.6,"The Apple MacBook Pro 16 2023 has enough processing power to run demanding games; however, very few games are optimized for its ARM-based SoC, and running games through Rosetta 2 can result in poor performance or graphical glitches, depending on the game. Also, the display's response time is quite slow even though it has a 120Hz refresh rate, resulting in noticeable ghosting in fast-moving scenes. On the upside, its SoC doesn't throttle under load, and the laptop doesn't get hot or loud.",7.8,"The Apple MacBook Pro 16 M3 is great for media consumption. It has a large, sharp, and colorful display that gets bright enough for a true HDR experience, and thanks to its Mini LED backlight, it can display deep, inky blacks, making it fantastic for dark room viewing. The speakers get very loud and sound full and well-balanced with a good amount of bass. Battery life is outstanding at nearly 13 hours of video playback, enough time to get through multiple full-length movies and TV show episodes. Portability is so-so; it isn't overly bulky for a 16-inch device but is fairly heavy.",8.5,"The Apple MacBook Pro 16 M3 is an outstanding workstation. Its M3 Pro/Max SoCs can handle even the most demanding workloads, including tasks like programming, video editing, Al development, and 3D rendering. Additionally, it has a sharp display with full DCI P3 coverage and superb calibration, making it suitable for color-critical work. Its excellent port selection includes a full-size HDMI, three USB-Cs/Thunderbolt 4s, and an SD card reader, so you can easily connect peripherals and external displays. It doesn't throttle under load, and while its fans are audible, they aren't overly distracting. The only downside is that the memory and storage aren't user-replaceable.",9.1,"The Apple MacBook Pro 16 M3 is excellent for business use. It has a large, bright display, a comfortable keyboard, a gigantic haptic touchpad, and an excellent 1080p webcam. Its wide port selection includes a full-size HDMI and three USB-C/Thunderbolt 4s, so you can easily connect peripherals or an external display for presentations. Apple's M3 Pro/Max SoCs can easily handle tasks like text processing, web browsing, spreadsheets, and presentations, and thanks to its power-efficient design, the battery lasts easily through a typical 8-hour day with plenty of charge to spare. Portability-wise, it isn't overly bulky for a 16-inch device, but it's on the heavier side.",8.5,"The Apple MacBook Pro 16 (M3, 2023) is a 16-inch premium workstation laptop. It replaces the M2 Apple MacBook Pro 16 from early 2023. Except for the new Space Black color, this late 2023 model is identical in design to its M2 predecessor. The M3 Pro/Max SoCs bring increased memory support (up to 128GB) as well as features like hardware-accelerated ray tracing and AV1 decoding. It has the same but slightly brighter 120Hz ProMotion Liquid Retina XDR display. Its port selection remains the same with three USB-C/Thunderbolt 4s, an HDMI 2.1, a full-size SD card reader, a 3.5mm headphone jack, and a MagSafe charging port."
Lenovo ThinkPad X1 Carbon Gen 11 (2023),"The Lenovo ThinkPad X1 Carbon Gen 11 is great for school. Thanks to its thin and lightweight design, it's very portable, and its battery lasts around ten hours of light use. It has a sharp, bright display, a comfortable keyboard, and a small but responsive touchpad. It's available with Intel 13th Gen. U- and P-series CPUs, which can handle fairly demanding workloads; however, you can only get this laptop with integrated graphics, so it isn't ideal for students in technical fields that require lots of GPU processing power.",8.2,"The Lenovo ThinkPad X1 Carbon Gen 11 is mediocre for gaming. Although its Intel 13th Gen CPU is fairly capable, its integrated graphics aren't powerful enough to handle graphically demanding games. You can play some lighter, older titles, but you'll have to play with low settings for smooth gameplay. Also, it's only available with 60Hz displays that lack VRR support to reduce screen tearing. On the upside, it has tons of ports for your peripherals and external displays, and it doesn't get hot or loud under load.",6.2,"The Lenovo ThinkPad X1 Carbon Gen 11 is decent for media consumption. It's very portable due to its compact and lightweight design, and its battery lasts around six hours of video playback, giving you enough time to get through a couple of full-length movies. Its FHD+ display looks sharp and gets bright enough for use in most indoor settings, but it isn't ideal for dark room viewing, as its low contrast makes blacks look gray. You can get the laptop with a 2.8k OLED display, which will deliver a better viewing experience, especially in dark rooms and HDR content; just know that the higher resolution will drain the battery faster, and OLEDs are susceptible to permanent burn-in. Unfortunately, while the speakers get very loud, they sound slightly unnatural and lack bass.",7.4,"The Lenovo ThinkPad X1 Carbon Gen 11 is good for use as a workstation. Its Intel 13th Gen. CPU performs well and can handle fairly demanding tasks; however, its integrated graphics perform poorly and aren't suitable for anything that requires lots of GPU processing power. You can do some color work, though, as it's available with a 2.8k OLED display with full DCI P3 coverage. It has a spacious and tactile keyboard, a fast SSD, and many ports, including two Thunderbolt 4s and an HDMI port.",7.8,"The Lenovo ThinkPad X1 Carbon Gen 11 is great for business use. It's very portable, and its battery lasts around ten hours of light use. Its 14-inch display looks sharp and is bright enough for well-lit settings. The keyboard feels comfortable to type on for extended periods, and the touchpad is small but responsive. Its Intel 13th Gen. CPU can easily handle productivity tasks like text processing, web browsing, spreadsheets, and presentations. It has an outstanding 1080p webcam for video calls and a wide port selection, including two Thunderbolt 4 and an HDMI port. The RAM isn't user-replaceable, so you need to get enough for your needs upfront.",8.3,"The Lenovo ThinkPad X1 Carbon Gen 11 (2023) is a high-end Windows ultraportable laptop. It replaces the Lenovo ThinkPad X1 Carbon Gen 10 from 2022. The Gen 11 model is identical to its predecessor in design but is available with newer Intel 13th Gen U- and P-series CPUs. Memory and storage max out at 64GB and 2TB, respectively. There are multiple display options, including FHD+ (1920 x 1200) options, a 2.2k IPS panel, and a 2.8k OLED panel. It has a 1080p webcam, Wi-Fi 6E wireless connectivity, and a 56Wh battery. You can also get the laptop with LTE support. Ports include two USB-As, two USB-C/Thunderbolt 4s, an HDMI, and a headphone jack. You can see our unit's specifications and the available configuration options in the Differences Between Variants section below."
HP Victus 15 (2022),"The HP Victus 15 is okay for school use. It feels well-built but isn't very portable, as it's a little bulky and heavy. The display provides plenty of space for split-screen multitasking, the keyboard feels spacious and tactile, and the touchpad is large and responsive. Its CPU and GPU can handle demanding tasks, making it suitable for students in more technical fields like 3D graphics. Unfortunately, the display doesn't get bright enough to combat glare, and its battery doesn't last a full day.",6.8,"The HP Victus 15 is great for gaming. It's available with Intel 12th Gen. CPUs and NVIDIA discrete graphics, which are powerful enough to provide a smooth gaming experience in demanding AAA titles at 1080p. It has a nice keyboard and a fast SSD, as well as Wi-Fi 6 and Ethernet connectivity for low-latency online gaming. Unfortunately, its 144Hz display has a slow response time causing noticeable ghosting, and it doesn't support variable refresh rate to reduce screen tearing.",8.0,"The HP Victus 15 is mediocre for media consumption. It isn't very portable because it's bulky and heavy; however, you get pretty decent battery life, as it lasts five to six hours of video playback, giving you plenty of time to get through a couple of full-length movies. Unfortunately, all the available displays look washed out except for the top-end 144Hz panel with full sRGB coverage. Also, none of the displays are well suited for dark room viewing, as they all have a low contrast ratio. The speakers sound clear and get reasonably loud, but they don't have much bass and treble, so they aren't the best for music listening.",6.3,"The HP Victus 15 is excellent for use as a workstation. Its Intel 12th Gen. CPUs and NVIDIA discrete GPUs can handle demanding tasks like video editing and 3D rendering. It loses some performance under load but doesn't get hot or loud. While you can only get up to 16GB of memory and 1TB of storage, these components are user-replaceable, meaning you can add more later on. The main downsides are that none of the display options support a wide color gamut for color work like photo and video editing, and its USB-C doesn't support Thunderbolt 4.",8.8,"The HP Victus 15 is good for business use. It has a large 15.6-inch display that's well-suited for multitasking, a spacious and tactile keyboard, and a large and responsive touchpad. Its Intel 12th Gen. CPU can handle most productivity tasks, like text processing, spreadsheets, and presentations. You can even do some video editing for your business, thanks to its discrete graphics. There are a few downsides, though. None of the displays get particularly bright, so you'll likely have visibility issues in well-lit rooms, and its battery doesn't last a full workday. Also, while it feels well-built, it isn't very portable because it's bulky and heavy.",7.5,"The HP Victus 15 (2022) is a 15.6-inch budget gaming laptop. It's available with Intel 12th Gen. Core i5 or i7 CPUs and multiple NVIDIA discrete GPUs, from a GeForce GTX 1650 to an RTX 3050 Ti. There are also multiple 1080p display options with a refresh rate of 60Hz or 144Hz. Memory and storage max out at 16GB and 1TB, respectively. It has Wi-Fi 6 wireless connectivity, a 720p webcam, and a 70Wh battery. Its port selection includes two USB-As, one USB-C, an HDMI 2.1, an SD card reader, an Ethernet, and a 3.5mm headphone jack. Its USB-C port supports video output but not charging. You can see our unit's specifications and all the available configuration options in the Differences Between Variants section below."
Lenovo IdeaPad 3 15 (2021),"The Lenovo IdeaPad 3 15 is decent for school use. It feels well-built, it's easy to carry around thanks to its thin and light design, and its battery lasts easily through a typical school day. The display provides enough space for multitasking and gets bright enough for use in most settings; however, the touchpad is small, and the keyboard can be fatiguing over time. Its AMD Ryzen CPU and integrated graphics can handle most student workloads, but they aren't ideal for graphically intensive tasks like video editing.",7.4,"The Lenovo IdeaPad 3 15 is mediocre for gaming. Its CPU and integrated GPU aren't powerful enough to handle graphically intensive games, resulting in low frame rates and stuttery motion. It also has a slow 60Hz display with no VRR support to reduce screen tearing. On the bright side, there's very little thermal throttling over time, and it doesn't get hot under load.",5.9,"The Lenovo IdeaPad 3 15 is decent for media consumption. It's a thin and light device that's easy to carry around, with enough battery life to get you through a couple of movies and TV show episodes. The display gets bright enough for use in most settings; however, it looks washed out, and its low contrast makes blacks appear gray in the dark. Likewise, the speakers sound clear but don't get very loud.",7.2,"The Lenovo IdeaPad 3 15 is okay as a workstation. Its CPU can handle light or even some moderately heavy workloads, especially the AMD Ryzen 7 5700U, but it's still very limited in graphical performance because it's only available with integrated graphics. Its port selection is decent, but the HDMI port is limited to the HDMI 1.4 standard. It doesn't get hot or throttle much under load, though the fans are a bit loud.",6.9,"The Lenovo IdeaPad 3 15 is decent for business use. It's portable due to its thin and light design, and it has good battery life, lasting over 9 hours of light productivity. The webcam captures a decent image for video calls, the touchpad tracks reasonably well, and the keyboard is spacious but slightly tiring to type on over an extended period. Its AMD Ryzen processor can handle most tasks like text formatting, spreadsheets, and presentations. If you perform heavy multitasking, you can upgrade to the Ryzen 5 5500U or the Ryzen 7 5700U for better multi-thread performance. Unfortunately, you can't charge the laptop via USB-C, and the HDMI port is limited to the HDMI 1.4 standard.",7.3,"The Lenovo IdeaPad 3 15 (2021) is a budget Windows ultraportable laptop. It's available with AMD Ryzen 5000 U-series CPUs, integrated graphics, up to 16GB of memory, and over 1TB of storage. You can choose between a TN or IPS display; they're both 1080p 60Hz panels with no variable refresh rate support. It has a 720p webcam, a Wi-Fi 5 wireless adapter, and a 48Wh battery. Its port selection includes two USB-As, a USB-C, an HDMI 1.4, an SD card reader, and a 3.5mm headphone jack. The USB-C port doesn't support video output or charging. You can see more details about the configurations in the Differences Between Variants section below."
Acer Swift 3 14 (2022),"The Acer Swift 3 2022 is good for school use. It feels well-built and is very portable. Its OLED display looks incredibly sharp, gives you enough screen real estate for multitasking, and gets bright enough for use in well-lit settings. Although the keyboard feels spacious and tactile, it can be tiring to type on over an extended period due to its short key travel. It's available with Intel 12th Gen. H-series CPUs, which can handle nearly every type of workload; however, you can only get this laptop with integrated graphics, so it isn't ideal for students in technical fields that require lots of GPU processing power. Unfortunately, the battery lasts only around six hours of light use.",7.6,"The Acer Swift 3 2022 is mediocre for gaming. Although its Intel 12th Gen. CPU can handle demanding tasks like gaming, you can only get this laptop with integrated graphics, which aren't powerful enough to provide smooth gameplay in graphically intensive games. As for the display, it has a 90Hz refresh rate and a decent response time but doesn't support variable refresh rate to reduce screen tearing. On the upside, it has tons of ports for peripherals and external monitors, and it doesn't get overly hot or loud under load.",6.1,"The Acer Swift 3 2022 is good for media consumption. It's very portable, and its battery lasts around six hours of video playback. Its OLED display produces deep, inky blacks and has full DCI P3 coverage, making it well-suited for viewing HDR content. You may have to calibrate the screen to get the best viewing experience, though, as the colors are very oversaturated out of the box. The speakers get fairly loud but sound slightly unnatural, with very little bass.",7.6,"The Acer Swift 3 2022 is good for use as a workstation. Its Intel 12th Gen. CPU performs well and can handle demanding tasks; however, it's only available with integrated graphics, so it isn't suitable for anything that requires lots of GPU processing power. However, its OLED display is well-suited for color-critical work as it has full sRGB and DCI P3 coverage as well as near-full Adobe RGB coverage. It has a fast SSD for quick file transfers and plenty of ports, including two Thunderbolt 4 and an HDMI 2.1 port. The CPU throttles under load, but the laptop doesn't get overly hot or loud.",7.8,"The Acer Swift 3 2022 is good for business use. It feels well-built and is easy to carry around, thanks to its compact design. Its OLED display looks incredibly sharp, provides enough space for split-screen multitasking, and gets bright enough to combat glare. The keyboard feels spacious and tactile but can cause fatigue over an extended period as the key travel is very short. As for the touchpad, it's small but responsive to all movements and gestures. Its Intel 12th Gen. CPU can easily handle productivity tasks like text processing, web browsing, spreadsheets, and presentations. It has a great 1080p webcam for video calls and a wide port selection that includes two Thunderbolt 4 and an HDMI 2.1 port. Unfortunately, the battery lasts only around six hours of light use.",7.7,"The Acer Swift 3 14 (2022) is a 14-inch Windows ultraportable laptop. It's available with an Intel Core i5-12500H or Core i7-12700H CPU and up to 16GB of memory and 1TB of storage. There's only one display option: a 90Hz OLED panel with full sRGB and DCI P3 coverage and near-full Adobe RGB. Ports include two USB-As, two USB-C/Thunderbolt 4s, an HDMI 2.1, and a 3.5mm headphone jack. It has Wi-Fi 6E wireless connectivity, a 1080p webcam, and a 56WH battery. The power button has an integrated fingerprint sensor for quick logins. You can see our unit's specifications and the available configuration options in the Differences Between Variants section below."
Microsoft Surface Laptop 5 (2022),"The Microsoft Surface Laptop 5 is good for school use. It feels incredibly well-built and is easy to carry around. It has a sharp and bright display, a spacious and tactile keyboard, and a large and responsive touchpad. The Intel CPU can handle most student workloads like text processing and web browsing, but it isn't ideal for demanding tasks like 3D graphics. The battery lasts around eight hours of light use, so depending on your workload, you may need to plug it in for a quick charge to get through the day.",7.7,"The Microsoft Surface Laptop 5 is inadequate for gaming. It's only available with low-power processors with integrated graphics, which aren't powerful enough to handle graphically intensive games. Also, the CPU's performance drops significantly when performing demanding tasks for an extended period. Its display is limited to a 60Hz refresh rate, has a slow response time, causing noticeable ghosting, and doesn't support variable refresh rate to reduce screen tearing.",5.7,"The Microsoft Surface Laptop 5 is good for media consumption. It's very portable, thanks to its thin and light design, and its battery life is fair at around five hours of video playback. It has a sharp and exceptionally well-calibrated display, although its taller 3:2 aspect ratio means you'll have black bars at the top and bottom in most content. The speakers sound clear but slightly muffled, and while they get reasonably loud, they sound a little harsh at max volume.",7.8,"The Microsoft Surface Laptop 5 is okay for use as a workstation. The Intel 12th Gen. CPU and integrated graphics can only handle light productivity tasks and not demanding workloads like video editing or 3D graphics. It also has a very limited port selection, with only one USB-A and a USB-C/Thunderbolt 4 port. On the upside, it has a great keyboard, and it doesn't get hot or loud under load.",6.9,"The Microsoft Surface Laptop 5 is good for business use. It's available in a 13.5-inch or 15-inch size, so you can choose the one that best suits your needs. Both models are very portable and feel incredibly well-built. The display is sharp, the keyboard feels comfortable to type on, and the touchpad is very responsive. The Intel CPU performs well and can handle most productivity tasks like text processing, spreadsheets, and presentations. The battery lasts around eight hours of light use, so you may need to plug it in for a quick charge, depending on your usage.",7.6,"The Microsoft Surface Laptop 5 is a premium Windows ultraportable available in a 13.5-inch or a 15-inch size. You can configure it with an Intel Core i5-1235U or Core i7-1255U CPU and up to 32GB of memory and 1TB of storage. It has a 3:2, touch-sensitive display, a 720p webcam, and Wi-Fi 6. Its port selection includes one USB-A, a USB-C/Thunderbolt 4, and a proprietary Surface Connect charging port. Both sizes—13.5-inch and 15-inch—have the same 46Wh battery capacity. It's available in five colors: Platinum (with Alcantara deck), Sage, Sandstone, Platinum (with metal deck), and Matte Black."
Lenovo Slim Pro 7 14 (2023),"The Lenovo Slim Pro 7 14 is great for school use. It's very portable due to its compact and lightweight design, and its battery lasts around 10 hours of light use. It has a sharp display, a spacious and tactile keyboard, and a large touchpad. Its AMD Ryzen CPU and NVIDIA discrete GPU can handle demanding workloads, making it a good option for students in fields like 3D graphics and engineering. Its port selection is great, though there's no Thunderbolt 4 support since it's an AMD system. It has a good 1080p webcam for remote classes; the image looks detailed but a tad underexposed.",8.0,"The Lenovo Slim Pro 7 14 is good for gaming. Its AMD Ryzen CPU and NVIDIA dedicated GPU can deliver a smooth gaming experience at 1080p; however, you may have to play with medium to low settings in the most demanding AAA titles to get over 60 fps. You can choose between a 90Hz QHD+ or 120Hz 3k display; their high refresh rates improve responsiveness when gaming, but they don't have the best response time as they're mainly for content creation and productivity, resulting in visible ghosting in fast-moving scenes. Also, neither display supports VRR to reduce screen tearing.",7.7,"The Lenovo Slim Pro 7 14 is good for media consumption. It's very portable due to its compact and lightweight design, and its battery lasts over seven hours of video playback. You can get the laptop with a QHD+ or 3k display; both look sharp and get bright enough for use in most indoor settings, though they aren't ideal for dark room viewing, as both have a low contrast ratio that makes blacks look gray. As for the speakers, although they get very loud and sound natural, they have very little bass.",7.7,"The Lenovo Slim Pro 7 14 is an excellent workstation. Its AMD Ryzen CPU and NVIDIA discrete GPU can handle demanding workloads like video editing and 3D animation. There's very little thermal throttling under load, and the laptop never gets overly hot or loud. Its wide port selection includes a USB4 and an HDMI 2.1, but there's no Thunderbolt 4 support since it's an AMD system. As for upgradeability, while the storage drive is user-replaceable, the memory isn't, meaning you can only get up to 16GB of RAM.",8.7,"The Lenovo Slim Pro 7 is great for business use. It has a compact and lightweight design, and its battery lasts around ten hours of light use. You can get the laptop with a QHD+ or 3k display; both look sharp, provide enough room for multitasking, and get bright enough to combat glare. The keyboard feels spacious and tactile, and the touchpad is responsive to all movements and gestures. Its AMD Ryzen CPU is fast and can easily handle productivity tasks like text processing, web browsing, spreadsheets, and presentations. You can even do some video editing for your business, thanks to its discrete NVIDIA GPU. Its wide port selection includes a USB4 and HDMI 2.1 port but no Thunderbolt 4 support.",8.0,"The Lenovo Slim Pro 7 14 (2023) is a mid-range workstation laptop designed for content creators. It's available with an AMD Ryzen 7 7735HS or 7840HS CPU, an NVIDIA GeForce RTX 3050 Laptop GPU (73W TGP), 16GB of RAM, and up to 1TB of storage. For the display, you can choose between a QHD+ or 3k panel; the former has full sRGB coverage, while the latter has full DCI P3. It has Wi-Fi 6E wireless connectivity, a 1080p webcam, an IR facial recognition camera, and a 73Wh battery. Ports include one USB-A, two USB-Cs, an HDMI 2.1, and a headphone jack."
ASUS Zenbook 14 OLED (2024),"The ASUS Zenbook 14 OLED 2024 is great for school use. It feels incredibly well-built and is easy to carry around, thanks to its compact design. It also provides a fantastic user experience with its sharp OLED display, spacious keyboard, and large, responsive touchpad. Performance-wise, Intel's Core Ultra CPUs can handle most student workloads, like text processing and web browsing; however, this laptop's limited cooling causes significant throttling, which isn't ideal for heavy, sustained workloads. Additionally, the CPU's integrated Arc graphics aren't fast enough for demanding tasks, making this laptop unsuitable for students in technical fields requiring lots of GPU processing power. The battery lasts around eight hours of light use, so depending on your workload, you may need to plug it in for a quick charge to get through the day.",8.2,"The ASUS Zenbook 14 OLED UX3405 is mediocre for gaming. It's only available with integrated graphics, which aren't fast enough to handle graphically intensive titles. You can play some lighter, puzzle-like games but have to play at a lower resolution or with low settings to get smooth gameplay. As for the display, the 120Hz OLED panel delivers a clear image and improves responsiveness; it just doesn't support VRR to reduce screen tearing.",6.5,"The ASUS Zenbook 14 OLED UX3405 is great for media consumption. It's very portable due to its thin and light design, and its battery lasts over eight hours of video playback. Its OLED display produces deep, inky blacks for a fantastic dark room viewing experience, and it has a wide color gamut, making it suitable for viewing HDR content. The speakers have a decent amount of bass and get reasonably loud; however, they also sound boxy and unnatural. Unfortunately, while you can get a display with touch input, this isn't a convertible laptop, so you can't put it in tent mode or use it as a tablet.",8.1,"The ASUS Zenbook 14 OLED UX3405 is decent for use as a workstation. Its Intel Core Ultra CPUs are fast but throttle significantly due to the laptop's limited cooling, which isn't ideal for heavy, sustained workloads. Also, it's only available with integrated graphics, which aren't powerful enough to handle GPU-intensive tasks. You can do some color work, though, as its OLED displays have full DCI P3 and near-full Adobe RGB coverage. It has a fast, user-replaceable SSD, and its great port selection includes two Thunderbolt 4 ports, allowing you to transfer files quickly and connect two 4k @ 60Hz displays with a single cable. The keyboard gets a bit toasty under load, but the fan is pretty quiet.",7.7,"The ASUS Zenbook 14 OLED 2024 is great for business use. It has a sturdy all-aluminum build and a compact design, making it well-suited for those who travel for work. Working on this laptop feels amazing, as it has a sharp OLED display, a spacious keyboard, and a large, responsive touchpad. Plus, there's an excellent 1080p webcam for video calls and a Windows Hello IR camera for quick logins. Performance isn't a problem, as Intel's Core Ultra CPUs can easily handle productivity tasks like text processing, spreadsheets, and presentations. The battery lasts around eight hours of light use, so depending on your usage, you may need to plug it in for a quick charge to get through the day. Unfortunately, the RAM isn't user-replaceable, and the OLED display is susceptible to permanent burn-in.",8.2,"The ASUS Zenbook 14 OLED (2024) is a premium 14-inch Windows ultraportable. This 2024 model (UX3405) replaces the Intel 13th Gen model (UX3402VA) from the previous year. It's available with Intel Core Ultra CPUs, ranging from a Core Ultra 5 125H to an Ultra 9 185H, integrated Intel Arc Graphics, up to 32GB of RAM, and up to 1TB of storage. Display options include a 60Hz FHD+ OLED and a 120Hz 2.8k OLED panel (with or without touch and pen input). It has a 1080p webcam, Wi-Fi 6E wireless connectivity, and a 75Wh battery. Its port selection comprises one USB-A, two USB-C/Thunderbolt 4s, an HDMI 2.0, and a 3.5mm headphone jack."
